2023-07-13 21:35:19.725424 Antivorovator.py started
2023-07-13 21:35:19.726229 Configuration:{Datacenter:vhodnaya, NodeName:lkps4, SubSystem:lkps, ControlPoint:4}
2023-07-13 21:35:19.726354 Try to get MetricsUrl
2023-07-13 21:35:19.746234 succesfully get MetricsUrl: http://localhost:21851/metrics
2023-07-13 21:35:19.799500 SecurityChannelState: 1
2023-07-13 21:35:34.870831 SecurityChannelState: 1
2023-07-13 21:35:49.936869 SecurityChannelState: 1
2023-07-13 21:36:04.999974 SecurityChannelState: 1
2023-07-13 21:36:20.063885 SecurityChannelState: 1
2023-07-13 21:36:35.131866 SecurityChannelState: 1
2023-07-13 21:36:50.200713 SecurityChannelState: 1
2023-07-13 21:37:05.272497 SecurityChannelState: 1
2023-07-13 21:37:20.343336 SecurityChannelState: 1
2023-07-13 21:37:35.412540 SecurityChannelState: 1
2023-07-13 21:37:50.479867 SecurityChannelState: 1
2023-07-13 21:38:05.548289 SecurityChannelState: 1
2023-07-13 21:38:20.611444 SecurityChannelState: 1
2023-07-13 21:38:35.675261 SecurityChannelState: 1
2023-07-13 21:38:50.738884 SecurityChannelState: 1
2023-07-13 21:39:05.802950 SecurityChannelState: 1
2023-07-13 21:39:20.868413 SecurityChannelState: 1
2023-07-13 21:39:35.935207 SecurityChannelState: 1
2023-07-13 21:39:51.002928 SecurityChannelState: 1
2023-07-13 21:40:06.071841 SecurityChannelState: 1
2023-07-13 21:40:21.137010 SecurityChannelState: 1
2023-07-13 21:40:36.207825 SecurityChannelState: 1
2023-07-13 21:40:51.276074 SecurityChannelState: 1
2023-07-13 21:41:06.347948 SecurityChannelState: 1
2023-07-13 21:41:21.415725 SecurityChannelState: 1
2023-07-13 21:41:36.487749 SecurityChannelState: 1
2023-07-13 21:41:51.555509 SecurityChannelState: 1
2023-07-13 21:42:06.616807 SecurityChannelState: 1
2023-07-13 21:42:21.683930 SecurityChannelState: 1
2023-07-13 21:42:36.752001 SecurityChannelState: 1
2023-07-13 21:42:51.815655 SecurityChannelState: 1
2023-07-13 21:43:06.883854 SecurityChannelState: 1
2023-07-13 21:43:21.947758 SecurityChannelState: 1
2023-07-13 21:43:37.019726 SecurityChannelState: 1
2023-07-13 21:43:52.075816 SecurityChannelState: 1
2023-07-13 21:44:07.143836 SecurityChannelState: 1
2023-07-13 21:44:22.211903 SecurityChannelState: 1
2023-07-13 21:44:37.279537 SecurityChannelState: 1
2023-07-13 21:44:52.348029 SecurityChannelState: 1
2023-07-13 21:45:07.408429 SecurityChannelState: 1
2023-07-13 21:45:22.476413 SecurityChannelState: 1
2023-07-13 21:45:37.539700 SecurityChannelState: 1
2023-07-13 21:45:52.608129 SecurityChannelState: 1
2023-07-13 21:46:07.680364 SecurityChannelState: 1
2023-07-13 21:46:22.748590 SecurityChannelState: 1
2023-07-13 21:46:37.811735 SecurityChannelState: 1
2023-07-13 21:46:52.879502 SecurityChannelState: 1
2023-07-13 21:47:07.943515 SecurityChannelState: 1
2023-07-13 21:47:23.003866 SecurityChannelState: 1
2023-07-13 21:47:38.071151 SecurityChannelState: 1
2023-07-13 21:47:53.131429 SecurityChannelState: 1
2023-07-13 21:48:08.194977 SecurityChannelState: 1
2023-07-13 21:48:23.263909 SecurityChannelState: 1
2023-07-13 21:48:38.331342 SecurityChannelState: 1
2023-07-13 21:48:53.400509 SecurityChannelState: 1
2023-07-13 21:49:08.455960 SecurityChannelState: 1
2023-07-13 21:49:23.524243 SecurityChannelState: 1
2023-07-13 21:49:38.592386 SecurityChannelState: 1
2023-07-13 21:49:53.656117 SecurityChannelState: 1
2023-07-13 21:50:08.718758 SecurityChannelState: 1
2023-07-13 21:50:23.792203 SecurityChannelState: 1
2023-07-13 21:50:38.859808 SecurityChannelState: 1
2023-07-13 21:50:53.919352 SecurityChannelState: 1
2023-07-13 21:51:08.991851 SecurityChannelState: 1
2023-07-13 21:51:24.064013 SecurityChannelState: 1
2023-07-13 21:51:39.131148 SecurityChannelState: 1
2023-07-13 21:51:54.187559 SecurityChannelState: 1
2023-07-13 21:52:09.255990 SecurityChannelState: 1
2023-07-13 21:52:24.323843 SecurityChannelState: 1
2023-07-13 21:52:39.391453 SecurityChannelState: 1
2023-07-13 21:52:54.459904 SecurityChannelState: 1
2023-07-13 21:53:09.515981 SecurityChannelState: 1
2023-07-13 21:53:24.578957 SecurityChannelState: 1
2023-07-13 21:53:39.649337 SecurityChannelState: 1
2023-07-13 21:53:54.719792 SecurityChannelState: 1
2023-07-13 21:54:09.787813 SecurityChannelState: 1
2023-07-13 21:54:24.843827 SecurityChannelState: 1
2023-07-13 21:54:39.915452 SecurityChannelState: 1
2023-07-13 21:54:54.979797 SecurityChannelState: 1
2023-07-13 21:55:10.047753 SecurityChannelState: 1
2023-07-13 21:55:25.116497 SecurityChannelState: 1
2023-07-13 21:55:40.182901 SecurityChannelState: 1
2023-07-13 21:55:55.247260 SecurityChannelState: 1
2023-07-13 21:56:10.315692 SecurityChannelState: 1
2023-07-13 21:56:25.383778 SecurityChannelState: 1
2023-07-13 21:56:40.455785 SecurityChannelState: 1
2023-07-13 21:56:55.520225 SecurityChannelState: 1
2023-07-13 21:57:10.579466 SecurityChannelState: 1
2023-07-13 21:57:25.643311 SecurityChannelState: 1
2023-07-13 21:57:40.712134 SecurityChannelState: 1
2023-07-13 21:57:55.779901 SecurityChannelState: 1
2023-07-13 21:58:10.847785 SecurityChannelState: 1
2023-07-13 21:58:25.915251 SecurityChannelState: 1
2023-07-13 21:58:40.984313 SecurityChannelState: 1
2023-07-13 21:58:56.051513 SecurityChannelState: 1
2023-07-13 21:59:11.120076 SecurityChannelState: 1
2023-07-13 21:59:26.187866 SecurityChannelState: 1
2023-07-13 21:59:41.255812 SecurityChannelState: 1
2023-07-13 21:59:56.319922 SecurityChannelState: 1
2023-07-13 22:00:11.376098 SecurityChannelState: 1
2023-07-13 22:00:26.435817 SecurityChannelState: 1
2023-07-13 22:00:41.500823 SecurityChannelState: 1
2023-07-13 22:00:56.568944 SecurityChannelState: 1
2023-07-13 22:01:11.632887 SecurityChannelState: 1
2023-07-13 22:01:26.699903 SecurityChannelState: 1
2023-07-13 22:01:41.763745 SecurityChannelState: 1
2023-07-13 22:01:56.832151 SecurityChannelState: 1
2023-07-13 22:02:11.887664 SecurityChannelState: 1
2023-07-13 22:02:26.948137 SecurityChannelState: 1
2023-07-13 22:02:42.008293 SecurityChannelState: 1
2023-07-13 22:02:57.067482 SecurityChannelState: 1
