2023-07-13 21:35:21.482618 Antivorovator.py started
2023-07-13 21:35:21.483419 Configuration:{Datacenter:chelyabinsk, NodeName:lkps1, SubSystem:lkps, ControlPoint:1}
2023-07-13 21:35:21.483597 Try to get MetricsUrl
2023-07-13 21:35:21.502523 succesfully get MetricsUrl: http://localhost:29209/metrics
2023-07-13 21:35:21.557990 SecurityChannelState: 1
2023-07-13 21:35:36.625823 SecurityChannelState: 1
2023-07-13 21:35:51.693490 SecurityChannelState: 1
2023-07-13 21:36:06.757648 SecurityChannelState: 1
2023-07-13 21:36:21.817608 SecurityChannelState: 1
2023-07-13 21:36:36.886001 SecurityChannelState: 1
2023-07-13 21:36:51.953834 SecurityChannelState: 1
2023-07-13 21:37:07.021843 SecurityChannelState: 1
2023-07-13 21:37:22.093486 SecurityChannelState: 1
2023-07-13 21:37:37.157650 SecurityChannelState: 1
2023-07-13 21:37:52.225788 SecurityChannelState: 1
2023-07-13 21:38:07.293746 SecurityChannelState: 1
2023-07-13 21:38:22.358089 SecurityChannelState: 1
2023-07-13 21:38:37.420759 SecurityChannelState: 1
2023-07-13 21:38:52.483937 SecurityChannelState: 1
2023-07-13 21:39:07.549854 SecurityChannelState: 1
2023-07-13 21:39:22.617086 SecurityChannelState: 1
2023-07-13 21:39:37.681703 SecurityChannelState: 1
2023-07-13 21:39:52.750330 SecurityChannelState: 1
2023-07-13 21:40:07.809332 SecurityChannelState: 1
2023-07-13 21:40:22.877348 SecurityChannelState: 1
2023-07-13 21:40:37.945874 SecurityChannelState: 1
2023-07-13 21:40:53.005625 SecurityChannelState: 1
2023-07-13 21:41:08.074408 SecurityChannelState: 1
2023-07-13 21:41:23.140720 SecurityChannelState: 1
2023-07-13 21:41:38.201074 SecurityChannelState: 1
2023-07-13 21:41:53.265499 SecurityChannelState: 1
2023-07-13 21:42:08.325508 SecurityChannelState: 1
2023-07-13 21:42:23.389541 SecurityChannelState: 1
2023-07-13 21:42:38.446243 SecurityChannelState: 1
2023-07-13 21:42:53.512181 SecurityChannelState: 1
2023-07-13 21:43:08.585711 SecurityChannelState: 1
2023-07-13 21:43:23.645588 SecurityChannelState: 1
2023-07-13 21:43:38.708821 SecurityChannelState: 1
2023-07-13 21:43:53.777637 SecurityChannelState: 1
2023-07-13 21:44:08.850061 SecurityChannelState: 1
2023-07-13 21:44:23.917656 SecurityChannelState: 1
2023-07-13 21:44:38.978951 SecurityChannelState: 1
2023-07-13 21:44:54.049502 SecurityChannelState: 1
2023-07-13 21:45:09.117869 SecurityChannelState: 1
2023-07-13 21:45:24.143166 SecurityChannelState: 1
2023-07-13 21:45:39.209079 SecurityChannelState: 1
2023-07-13 21:45:54.277466 SecurityChannelState: 1
2023-07-13 21:46:09.341659 SecurityChannelState: 1
2023-07-13 21:46:24.409703 SecurityChannelState: 1
2023-07-13 21:46:39.482523 SecurityChannelState: 1
2023-07-13 21:46:54.549793 SecurityChannelState: 1
2023-07-13 21:47:09.617807 SecurityChannelState: 1
2023-07-13 21:47:24.685523 SecurityChannelState: 1
2023-07-13 21:47:39.750648 SecurityChannelState: 1
2023-07-13 21:47:54.813841 SecurityChannelState: 1
2023-07-13 21:48:09.876868 SecurityChannelState: 1
2023-07-13 21:48:24.941799 SecurityChannelState: 1
2023-07-13 21:48:40.010053 SecurityChannelState: 1
2023-07-13 21:48:55.077335 SecurityChannelState: 1
2023-07-13 21:49:10.141691 SecurityChannelState: 1
2023-07-13 21:49:25.197602 SecurityChannelState: 1
2023-07-13 21:49:40.269595 SecurityChannelState: 1
2023-07-13 21:49:55.325993 SecurityChannelState: 1
2023-07-13 21:50:10.389849 SecurityChannelState: 1
2023-07-13 21:50:25.446199 SecurityChannelState: 1
2023-07-13 21:50:40.512876 SecurityChannelState: 1
2023-07-13 21:50:55.581270 SecurityChannelState: 1
2023-07-13 21:51:10.649697 SecurityChannelState: 1
2023-07-13 21:51:25.714307 SecurityChannelState: 1
2023-07-13 21:51:40.773754 SecurityChannelState: 1
2023-07-13 21:51:55.837388 SecurityChannelState: 1
2023-07-13 21:52:10.905292 SecurityChannelState: 1
2023-07-13 21:52:25.973645 SecurityChannelState: 1
2023-07-13 21:52:41.041793 SecurityChannelState: 1
2023-07-13 21:52:56.109601 SecurityChannelState: 1
2023-07-13 21:53:11.181900 SecurityChannelState: 1
2023-07-13 21:53:26.241619 SecurityChannelState: 1
2023-07-13 21:53:41.309269 SecurityChannelState: 1
2023-07-13 21:53:56.377263 SecurityChannelState: 1
2023-07-13 21:54:11.441565 SecurityChannelState: 1
2023-07-13 21:54:26.509566 SecurityChannelState: 1
2023-07-13 21:54:41.573772 SecurityChannelState: 1
2023-07-13 21:54:56.637399 SecurityChannelState: 1
2023-07-13 21:55:11.701102 SecurityChannelState: 1
2023-07-13 21:55:26.773966 SecurityChannelState: 1
2023-07-13 21:55:41.837247 SecurityChannelState: 1
2023-07-13 21:55:56.898254 SecurityChannelState: 1
2023-07-13 21:56:11.960827 SecurityChannelState: 1
2023-07-13 21:56:27.025856 SecurityChannelState: 1
2023-07-13 21:56:42.089364 SecurityChannelState: 1
2023-07-13 21:56:57.157802 SecurityChannelState: 1
2023-07-13 21:57:12.225047 SecurityChannelState: 1
2023-07-13 21:57:27.293810 SecurityChannelState: 1
2023-07-13 21:57:42.357545 SecurityChannelState: 1
2023-07-13 21:57:57.425790 SecurityChannelState: 1
2023-07-13 21:58:12.493685 SecurityChannelState: 1
2023-07-13 21:58:27.558309 SecurityChannelState: 1
2023-07-13 21:58:42.612995 SecurityChannelState: 1
2023-07-13 21:58:57.682430 SecurityChannelState: 1
2023-07-13 21:59:12.749200 SecurityChannelState: 1
2023-07-13 21:59:27.817975 SecurityChannelState: 1
2023-07-13 21:59:42.885724 SecurityChannelState: 1
2023-07-13 21:59:57.945519 SecurityChannelState: 1
2023-07-13 22:00:13.013816 SecurityChannelState: 1
2023-07-13 22:00:28.069639 SecurityChannelState: 1
2023-07-13 22:00:43.129633 SecurityChannelState: 1
2023-07-13 22:00:58.197430 SecurityChannelState: 1
2023-07-13 22:01:13.269814 SecurityChannelState: 1
2023-07-13 22:01:28.329801 SecurityChannelState: 1
2023-07-13 22:01:43.397912 SecurityChannelState: 1
2023-07-13 22:01:58.466272 SecurityChannelState: 1
2023-07-13 22:02:13.533585 SecurityChannelState: 1
2023-07-13 22:02:28.597603 SecurityChannelState: 1
2023-07-13 22:02:43.661738 SecurityChannelState: 1
2023-07-13 22:02:58.725021 SecurityChannelState: 1
2023-07-13 22:03:13.801560 SecurityChannelState: 1
2023-07-13 22:03:28.866134 SecurityChannelState: 1
2023-07-13 22:03:43.937719 SecurityChannelState: 1
2023-07-13 22:03:59.005656 SecurityChannelState: 1
2023-07-13 22:04:14.073381 SecurityChannelState: 1
2023-07-13 22:04:29.129733 SecurityChannelState: 1
2023-07-13 22:04:44.201076 SecurityChannelState: 1
2023-07-13 22:04:59.266318 SecurityChannelState: 1
2023-07-13 22:05:14.333614 SecurityChannelState: 1
2023-07-13 22:05:29.389757 SecurityChannelState: 1
2023-07-13 22:05:44.457696 SecurityChannelState: 1
2023-07-13 22:05:59.530327 SecurityChannelState: 1
2023-07-13 22:06:14.597737 SecurityChannelState: 1
2023-07-13 22:06:29.656797 SecurityChannelState: 1
2023-07-13 22:06:44.713626 SecurityChannelState: 1
2023-07-13 22:06:59.769953 SecurityChannelState: 1
2023-07-13 22:07:14.833940 SecurityChannelState: 1
2023-07-13 22:07:29.902037 SecurityChannelState: 1
2023-07-13 22:07:44.969296 SecurityChannelState: 1
2023-07-13 22:08:00.033260 SecurityChannelState: 1
2023-07-13 22:08:15.101975 SecurityChannelState: 1
2023-07-13 22:08:30.170261 SecurityChannelState: 1
2023-07-13 22:08:45.202657 SecurityChannelState: 1
2023-07-13 22:09:00.273379 SecurityChannelState: 1
2023-07-13 22:09:15.346096 SecurityChannelState: 1
2023-07-13 22:09:30.409864 SecurityChannelState: 1
2023-07-13 22:09:45.477626 SecurityChannelState: 1
2023-07-13 22:10:00.545399 SecurityChannelState: 1
2023-07-13 22:10:15.613272 SecurityChannelState: 1
2023-07-13 22:10:30.681894 SecurityChannelState: 1
2023-07-13 22:10:45.745412 SecurityChannelState: 1
2023-07-13 22:11:00.817638 SecurityChannelState: 1
2023-07-13 22:11:15.885709 SecurityChannelState: 1
2023-07-13 22:11:30.953760 SecurityChannelState: 1
2023-07-13 22:11:46.017716 SecurityChannelState: 1
2023-07-13 22:12:01.085448 SecurityChannelState: 1
2023-07-13 22:12:16.149069 SecurityChannelState: 1
2023-07-13 22:12:31.217554 SecurityChannelState: 1
2023-07-13 22:12:46.273477 SecurityChannelState: 1
2023-07-13 22:13:01.342308 SecurityChannelState: 1
2023-07-13 22:13:16.413930 SecurityChannelState: 1
2023-07-13 22:13:31.475900 SecurityChannelState: 1
2023-07-13 22:13:46.545856 SecurityChannelState: 1
2023-07-13 22:14:01.613582 SecurityChannelState: 1
2023-07-13 22:14:16.669525 SecurityChannelState: 1
2023-07-13 22:14:31.741586 SecurityChannelState: 1
2023-07-13 22:14:46.810281 SecurityChannelState: 1
2023-07-13 22:15:01.882695 SecurityChannelState: 1
2023-07-13 22:15:16.949808 SecurityChannelState: 1
2023-07-13 22:15:32.013367 SecurityChannelState: 1
2023-07-13 22:15:47.082368 SecurityChannelState: 1
2023-07-13 22:16:02.149852 SecurityChannelState: 1
2023-07-13 22:16:17.221312 SecurityChannelState: 1
2023-07-13 22:16:32.289567 SecurityChannelState: 1
2023-07-13 22:16:47.353600 SecurityChannelState: 1
2023-07-13 22:17:02.421687 SecurityChannelState: 1
2023-07-13 22:17:17.485228 SecurityChannelState: 1
2023-07-13 22:17:32.545362 SecurityChannelState: 1
2023-07-13 22:17:47.614262 SecurityChannelState: 1
2023-07-13 22:18:02.678420 SecurityChannelState: 1
2023-07-13 22:18:17.752465 SecurityChannelState: 1
2023-07-13 22:18:32.821378 SecurityChannelState: 1
2023-07-13 22:18:47.893651 SecurityChannelState: 1
2023-07-13 22:19:02.961881 SecurityChannelState: 1
2023-07-13 22:19:18.021156 SecurityChannelState: 1
