2023-07-13 21:35:22.908835 Antivorovator.py started
2023-07-13 21:35:22.909685 Configuration:{Datacenter:oreh, NodeName:lkps1, SubSystem:lkps, ControlPoint:1}
2023-07-13 21:35:22.909821 Try to get MetricsUrl
2023-07-13 21:35:22.924071 succesfully get MetricsUrl: http://localhost:24969/metrics
2023-07-13 21:35:22.977269 SecurityChannelState: 1
2023-07-13 21:35:38.043065 SecurityChannelState: 1
2023-07-13 21:35:53.110598 SecurityChannelState: 1
2023-07-13 21:36:08.174499 SecurityChannelState: 1
2023-07-13 21:36:23.238790 SecurityChannelState: 1
2023-07-13 21:36:38.302563 SecurityChannelState: 1
2023-07-13 21:36:53.370543 SecurityChannelState: 1
2023-07-13 21:37:08.434619 SecurityChannelState: 1
2023-07-13 21:37:23.497866 SecurityChannelState: 1
2023-07-13 21:37:38.562431 SecurityChannelState: 1
2023-07-13 21:37:53.630842 SecurityChannelState: 1
2023-07-13 21:38:08.698551 SecurityChannelState: 1
2023-07-13 21:38:23.763250 SecurityChannelState: 1
2023-07-13 21:38:38.830659 SecurityChannelState: 1
2023-07-13 21:38:53.898295 SecurityChannelState: 1
2023-07-13 21:39:08.966853 SecurityChannelState: 1
2023-07-13 21:39:24.034161 SecurityChannelState: 1
2023-07-13 21:39:39.102733 SecurityChannelState: 1
2023-07-13 21:39:54.166936 SecurityChannelState: 1
2023-07-13 21:40:09.229366 SecurityChannelState: 1
2023-07-13 21:40:24.294340 SecurityChannelState: 1
2023-07-13 21:40:39.358107 SecurityChannelState: 1
2023-07-13 21:40:54.421904 SecurityChannelState: 1
2023-07-13 21:41:09.490475 SecurityChannelState: 1
2023-07-13 21:41:24.555233 SecurityChannelState: 1
2023-07-13 21:41:39.618451 SecurityChannelState: 1
2023-07-13 21:41:54.690337 SecurityChannelState: 1
2023-07-13 21:42:09.759179 SecurityChannelState: 1
2023-07-13 21:42:24.826657 SecurityChannelState: 1
2023-07-13 21:42:39.890670 SecurityChannelState: 1
2023-07-13 21:42:54.954676 SecurityChannelState: 1
2023-07-13 21:43:10.022221 SecurityChannelState: 1
2023-07-13 21:43:25.086602 SecurityChannelState: 1
2023-07-13 21:43:40.151018 SecurityChannelState: 1
2023-07-13 21:43:55.214857 SecurityChannelState: 1
2023-07-13 21:44:10.278678 SecurityChannelState: 1
2023-07-13 21:44:25.341019 SecurityChannelState: 1
2023-07-13 21:44:40.410688 SecurityChannelState: 1
2023-07-13 21:44:55.474467 SecurityChannelState: 1
2023-07-13 21:45:10.545082 SecurityChannelState: 1
2023-07-13 21:45:25.610762 SecurityChannelState: 1
2023-07-13 21:45:40.674452 SecurityChannelState: 1
2023-07-13 21:45:55.738759 SecurityChannelState: 1
2023-07-13 21:46:10.802450 SecurityChannelState: 1
2023-07-13 21:46:25.866570 SecurityChannelState: 1
2023-07-13 21:46:40.930642 SecurityChannelState: 1
2023-07-13 21:46:55.998634 SecurityChannelState: 1
2023-07-13 21:47:11.062767 SecurityChannelState: 1
2023-07-13 21:47:26.126397 SecurityChannelState: 1
2023-07-13 21:47:41.190981 SecurityChannelState: 1
2023-07-13 21:47:56.258844 SecurityChannelState: 1
2023-07-13 21:48:11.322851 SecurityChannelState: 1
2023-07-13 21:48:26.387064 SecurityChannelState: 1
2023-07-13 21:48:41.454357 SecurityChannelState: 1
2023-07-13 21:48:56.522358 SecurityChannelState: 1
2023-07-13 21:49:11.590761 SecurityChannelState: 1
2023-07-13 21:49:26.658422 SecurityChannelState: 1
2023-07-13 21:49:41.726741 SecurityChannelState: 1
2023-07-13 21:49:56.794983 SecurityChannelState: 1
2023-07-13 21:50:11.862492 SecurityChannelState: 1
2023-07-13 21:50:26.926659 SecurityChannelState: 1
2023-07-13 21:50:41.990496 SecurityChannelState: 1
2023-07-13 21:50:57.055026 SecurityChannelState: 1
