2023-07-13 21:35:21.598563 Antivorovator.py started
2023-07-13 21:35:21.598783 Configuration:{Datacenter:chelyabinsk, NodeName:lkps4, SubSystem:lkps, ControlPoint:4}
2023-07-13 21:35:21.598952 Try to get MetricsUrl
2023-07-13 21:35:21.632566 succesfully get MetricsUrl: http://localhost:25704/metrics
2023-07-13 21:35:21.647521 SecurityChannelState: 1
2023-07-13 21:35:36.714060 SecurityChannelState: 1
2023-07-13 21:35:51.781714 SecurityChannelState: 1
2023-07-13 21:36:06.853978 SecurityChannelState: 1
2023-07-13 21:36:21.921907 SecurityChannelState: 1
2023-07-13 21:36:36.989989 SecurityChannelState: 1
2023-07-13 21:36:52.057965 SecurityChannelState: 1
2023-07-13 21:37:07.128399 SecurityChannelState: 1
2023-07-13 21:37:22.193493 SecurityChannelState: 1
2023-07-13 21:37:37.261937 SecurityChannelState: 1
2023-07-13 21:37:52.330198 SecurityChannelState: 1
2023-07-13 21:38:07.398081 SecurityChannelState: 1
2023-07-13 21:38:22.460095 SecurityChannelState: 1
2023-07-13 21:38:37.522185 SecurityChannelState: 1
2023-07-13 21:38:52.586293 SecurityChannelState: 1
2023-07-13 21:39:07.656227 SecurityChannelState: 1
2023-07-13 21:39:22.721982 SecurityChannelState: 1
2023-07-13 21:39:37.790060 SecurityChannelState: 1
2023-07-13 21:39:52.850059 SecurityChannelState: 1
2023-07-13 21:40:07.918523 SecurityChannelState: 1
2023-07-13 21:40:22.986283 SecurityChannelState: 1
2023-07-13 21:40:38.054298 SecurityChannelState: 1
2023-07-13 21:40:53.121948 SecurityChannelState: 1
2023-07-13 21:41:08.190390 SecurityChannelState: 1
2023-07-13 21:41:23.249797 SecurityChannelState: 1
2023-07-13 21:41:38.313740 SecurityChannelState: 1
2023-07-13 21:41:53.382044 SecurityChannelState: 1
2023-07-13 21:42:08.449950 SecurityChannelState: 1
2023-07-13 21:42:23.506021 SecurityChannelState: 1
2023-07-13 21:42:38.570489 SecurityChannelState: 1
2023-07-13 21:42:53.633740 SecurityChannelState: 1
2023-07-13 21:43:08.701946 SecurityChannelState: 1
2023-07-13 21:43:23.770545 SecurityChannelState: 1
2023-07-13 21:43:38.842691 SecurityChannelState: 1
2023-07-13 21:43:53.909735 SecurityChannelState: 1
2023-07-13 21:44:08.978037 SecurityChannelState: 1
2023-07-13 21:44:24.045600 SecurityChannelState: 1
2023-07-13 21:44:39.102392 SecurityChannelState: 1
2023-07-13 21:44:54.170151 SecurityChannelState: 1
2023-07-13 21:45:09.237808 SecurityChannelState: 1
2023-07-13 21:45:24.302112 SecurityChannelState: 1
2023-07-13 21:45:39.365670 SecurityChannelState: 1
2023-07-13 21:45:54.434011 SecurityChannelState: 1
2023-07-13 21:46:09.505955 SecurityChannelState: 1
2023-07-13 21:46:24.578321 SecurityChannelState: 1
2023-07-13 21:46:39.646241 SecurityChannelState: 1
2023-07-13 21:46:54.711114 SecurityChannelState: 1
2023-07-13 21:47:09.781820 SecurityChannelState: 1
2023-07-13 21:47:24.850099 SecurityChannelState: 1
2023-07-13 21:47:39.918164 SecurityChannelState: 1
2023-07-13 21:47:54.986253 SecurityChannelState: 1
2023-07-13 21:48:10.053498 SecurityChannelState: 1
2023-07-13 21:48:25.122518 SecurityChannelState: 1
2023-07-13 21:48:40.189895 SecurityChannelState: 1
2023-07-13 21:48:55.258167 SecurityChannelState: 1
2023-07-13 21:49:10.324591 SecurityChannelState: 1
2023-07-13 21:49:25.400985 SecurityChannelState: 1
2023-07-13 21:49:40.465185 SecurityChannelState: 1
2023-07-13 21:49:55.533756 SecurityChannelState: 1
2023-07-13 21:50:10.602086 SecurityChannelState: 1
2023-07-13 21:50:25.670394 SecurityChannelState: 1
2023-07-13 21:50:40.730204 SecurityChannelState: 1
2023-07-13 21:50:55.793905 SecurityChannelState: 1
2023-07-13 21:51:10.858292 SecurityChannelState: 1
2023-07-13 21:51:25.921655 SecurityChannelState: 1
2023-07-13 21:51:40.994523 SecurityChannelState: 1
2023-07-13 21:51:56.070351 SecurityChannelState: 1
2023-07-13 21:52:11.134510 SecurityChannelState: 1
2023-07-13 21:52:26.194050 SecurityChannelState: 1
2023-07-13 21:52:41.262039 SecurityChannelState: 1
2023-07-13 21:52:56.334085 SecurityChannelState: 1
2023-07-13 21:53:11.402698 SecurityChannelState: 1
2023-07-13 21:53:26.473897 SecurityChannelState: 1
2023-07-13 21:53:41.530651 SecurityChannelState: 1
2023-07-13 21:53:56.593982 SecurityChannelState: 1
2023-07-13 21:54:11.665833 SecurityChannelState: 1
2023-07-13 21:54:26.734171 SecurityChannelState: 1
2023-07-13 21:54:41.794272 SecurityChannelState: 1
2023-07-13 21:54:56.862121 SecurityChannelState: 1
2023-07-13 21:55:11.930220 SecurityChannelState: 1
2023-07-13 21:55:26.997950 SecurityChannelState: 1
2023-07-13 21:55:42.065739 SecurityChannelState: 1
2023-07-13 21:55:57.134192 SecurityChannelState: 1
2023-07-13 21:56:12.198287 SecurityChannelState: 1
2023-07-13 21:56:27.265488 SecurityChannelState: 1
2023-07-13 21:56:42.325141 SecurityChannelState: 1
2023-07-13 21:56:57.390337 SecurityChannelState: 1
2023-07-13 21:57:12.418659 SecurityChannelState: 1
2023-07-13 21:57:27.485214 SecurityChannelState: 1
2023-07-13 21:57:42.550520 SecurityChannelState: 1
2023-07-13 21:57:57.618329 SecurityChannelState: 1
2023-07-13 21:58:12.686348 SecurityChannelState: 1
2023-07-13 21:58:27.750130 SecurityChannelState: 1
2023-07-13 21:58:42.817760 SecurityChannelState: 1
2023-07-13 21:58:57.886212 SecurityChannelState: 1
2023-07-13 21:59:12.950152 SecurityChannelState: 1
2023-07-13 21:59:28.018530 SecurityChannelState: 1
2023-07-13 21:59:43.077758 SecurityChannelState: 1
