2023-07-13 21:35:24 Antivorovator.py started
2023-07-13 21:35:29 Configuration:{Datacenter:vhodnaya, NodeName:lkps4, SubSystem:lkps, ControlPoint:4}
2023-07-13 21:35:54 Try to get MetricsUrl
2023-07-13 21:35:34 succesfully get MetricsUrl: http://localhost:21851/metrics
2023-07-13 21:35:00 SecurityChannelState: 1
2023-07-13 21:35:31 SecurityChannelState: 1
2023-07-13 21:35:69 SecurityChannelState: 1
2023-07-13 21:36:74 SecurityChannelState: 1
2023-07-13 21:36:85 SecurityChannelState: 1
2023-07-13 21:36:66 SecurityChannelState: 1
2023-07-13 21:36:13 SecurityChannelState: 1
2023-07-13 21:37:97 SecurityChannelState: 1
2023-07-13 21:37:36 SecurityChannelState: 1
2023-07-13 21:37:40 SecurityChannelState: 1
2023-07-13 21:37:67 SecurityChannelState: 1
2023-07-13 21:38:89 SecurityChannelState: 1
2023-07-13 21:38:44 SecurityChannelState: 1
2023-07-13 21:38:61 SecurityChannelState: 1
2023-07-13 21:38:84 SecurityChannelState: 1
2023-07-13 21:39:50 SecurityChannelState: 1
2023-07-13 21:39:13 SecurityChannelState: 1
2023-07-13 21:39:07 SecurityChannelState: 1
2023-07-13 21:39:28 SecurityChannelState: 1
2023-07-13 21:40:41 SecurityChannelState: 1
2023-07-13 21:40:10 SecurityChannelState: 1
2023-07-13 21:40:25 SecurityChannelState: 1
2023-07-13 21:40:74 SecurityChannelState: 1
2023-07-13 21:41:48 SecurityChannelState: 1
2023-07-13 21:41:25 SecurityChannelState: 1
2023-07-13 21:41:49 SecurityChannelState: 1
2023-07-13 21:41:09 SecurityChannelState: 1
2023-07-13 21:42:07 SecurityChannelState: 1
2023-07-13 21:42:30 SecurityChannelState: 1
2023-07-13 21:42:01 SecurityChannelState: 1
2023-07-13 21:42:55 SecurityChannelState: 1
2023-07-13 21:43:54 SecurityChannelState: 1
2023-07-13 21:43:58 SecurityChannelState: 1
2023-07-13 21:43:26 SecurityChannelState: 1
2023-07-13 21:43:16 SecurityChannelState: 1
2023-07-13 21:44:36 SecurityChannelState: 1
2023-07-13 21:44:03 SecurityChannelState: 1
