2023-07-13 21:35:35 Antivorovator.py started
2023-07-13 21:35:85 Configuration:{Datacenter:oreh, NodeName:lkps1, SubSystem:lkps, ControlPoint:1}
2023-07-13 21:35:21 Try to get MetricsUrl
2023-07-13 21:35:71 succesfully get MetricsUrl: http://localhost:24969/metrics
2023-07-13 21:35:69 SecurityChannelState: 1
2023-07-13 21:35:65 SecurityChannelState: 1
2023-07-13 21:35:98 SecurityChannelState: 1
2023-07-13 21:36:99 SecurityChannelState: 1
2023-07-13 21:36:90 SecurityChannelState: 1
2023-07-13 21:36:63 SecurityChannelState: 1
2023-07-13 21:36:43 SecurityChannelState: 1
2023-07-13 21:37:19 SecurityChannelState: 1
2023-07-13 21:37:66 SecurityChannelState: 1
2023-07-13 21:37:31 SecurityChannelState: 1
2023-07-13 21:37:42 SecurityChannelState: 1
2023-07-13 21:38:51 SecurityChannelState: 1
2023-07-13 21:38:50 SecurityChannelState: 1
2023-07-13 21:38:59 SecurityChannelState: 1
2023-07-13 21:38:95 SecurityChannelState: 1
2023-07-13 21:39:53 SecurityChannelState: 1
2023-07-13 21:39:61 SecurityChannelState: 1
2023-07-13 21:39:33 SecurityChannelState: 1
2023-07-13 21:39:36 SecurityChannelState: 1
2023-07-13 21:40:66 SecurityChannelState: 1
2023-07-13 21:40:40 SecurityChannelState: 1
2023-07-13 21:40:07 SecurityChannelState: 1
2023-07-13 21:40:04 SecurityChannelState: 1
2023-07-13 21:41:75 SecurityChannelState: 1
2023-07-13 21:41:33 SecurityChannelState: 1
2023-07-13 21:41:51 SecurityChannelState: 1
2023-07-13 21:41:37 SecurityChannelState: 1
2023-07-13 21:42:79 SecurityChannelState: 1
2023-07-13 21:42:57 SecurityChannelState: 1
2023-07-13 21:42:70 SecurityChannelState: 1
2023-07-13 21:42:76 SecurityChannelState: 1
2023-07-13 21:43:21 SecurityChannelState: 1
2023-07-13 21:43:02 SecurityChannelState: 1
2023-07-13 21:43:18 SecurityChannelState: 1
2023-07-13 21:43:57 SecurityChannelState: 1
2023-07-13 21:44:78 SecurityChannelState: 1
2023-07-13 21:44:19 SecurityChannelState: 1
2023-07-13 21:44:88 SecurityChannelState: 1
2023-07-13 21:44:67 SecurityChannelState: 1
2023-07-13 21:45:82 SecurityChannelState: 1
2023-07-13 21:45:62 SecurityChannelState: 1
2023-07-13 21:45:52 SecurityChannelState: 1
2023-07-13 21:45:59 SecurityChannelState: 1
2023-07-13 21:46:50 SecurityChannelState: 1
2023-07-13 21:46:70 SecurityChannelState: 1
2023-07-13 21:46:42 SecurityChannelState: 1
2023-07-13 21:46:34 SecurityChannelState: 1
2023-07-13 21:47:67 SecurityChannelState: 1
2023-07-13 21:47:97 SecurityChannelState: 1
2023-07-13 21:47:81 SecurityChannelState: 1
2023-07-13 21:47:44 SecurityChannelState: 1
2023-07-13 21:48:51 SecurityChannelState: 1
2023-07-13 21:48:64 SecurityChannelState: 1
2023-07-13 21:48:57 SecurityChannelState: 1
2023-07-13 21:48:58 SecurityChannelState: 1
2023-07-13 21:49:61 SecurityChannelState: 1
2023-07-13 21:49:22 SecurityChannelState: 1
2023-07-13 21:49:41 SecurityChannelState: 1
2023-07-13 21:49:83 SecurityChannelState: 1
2023-07-13 21:50:92 SecurityChannelState: 1
2023-07-13 21:50:59 SecurityChannelState: 1
2023-07-13 21:50:96 SecurityChannelState: 1
2023-07-13 21:50:26 SecurityChannelState: 1
2023-07-13 21:51:43 SecurityChannelState: 1
2023-07-13 21:51:11 SecurityChannelState: 1
2023-07-13 21:51:40 SecurityChannelState: 1
2023-07-13 21:51:63 SecurityChannelState: 1
2023-07-13 21:52:57 SecurityChannelState: 1
2023-07-13 21:52:59 SecurityChannelState: 1
2023-07-13 21:52:64 SecurityChannelState: 1
2023-07-13 21:52:86 SecurityChannelState: 1
2023-07-13 21:53:77 SecurityChannelState: 1
2023-07-13 21:53:73 SecurityChannelState: 1
2023-07-13 21:53:11 SecurityChannelState: 1
2023-07-13 21:53:23 SecurityChannelState: 1
2023-07-13 21:54:37 SecurityChannelState: 1
2023-07-13 21:54:13 SecurityChannelState: 1
2023-07-13 21:54:03 SecurityChannelState: 1
2023-07-13 21:54:01 SecurityChannelState: 1
2023-07-13 21:55:81 SecurityChannelState: 1
2023-07-13 21:55:21 SecurityChannelState: 1
2023-07-13 21:55:15 SecurityChannelState: 1
2023-07-13 21:55:92 SecurityChannelState: 1
2023-07-13 21:56:16 SecurityChannelState: 1
2023-07-13 21:56:00 SecurityChannelState: 1
2023-07-13 21:56:31 SecurityChannelState: 1
2023-07-13 21:56:38 SecurityChannelState: 1
2023-07-13 21:57:89 SecurityChannelState: 1
2023-07-13 21:57:76 SecurityChannelState: 1
2023-07-13 21:57:27 SecurityChannelState: 1
2023-07-13 21:57:27 SecurityChannelState: 1
2023-07-13 21:58:39 SecurityChannelState: 1
2023-07-13 21:58:52 SecurityChannelState: 1
2023-07-13 21:58:59 SecurityChannelState: 1
2023-07-13 21:58:75 SecurityChannelState: 1
2023-07-13 21:59:63 SecurityChannelState: 1
2023-07-13 21:59:46 SecurityChannelState: 1
2023-07-13 21:59:00 SecurityChannelState: 1
2023-07-13 21:59:12 SecurityChannelState: 1
2023-07-13 22:00:88 SecurityChannelState: 1
2023-07-13 22:00:97 SecurityChannelState: 1
2023-07-13 22:00:48 SecurityChannelState: 1
2023-07-13 22:00:54 SecurityChannelState: 1
2023-07-13 22:01:29 SecurityChannelState: 1
2023-07-13 22:01:43 SecurityChannelState: 1
2023-07-13 22:01:32 SecurityChannelState: 1
2023-07-13 22:01:63 SecurityChannelState: 1
2023-07-13 22:02:48 SecurityChannelState: 1
2023-07-13 22:02:55 SecurityChannelState: 1
2023-07-13 22:02:78 SecurityChannelState: 1
2023-07-13 22:03:95 SecurityChannelState: 1
2023-07-13 22:03:68 SecurityChannelState: 1
2023-07-13 22:03:73 SecurityChannelState: 1
2023-07-13 22:03:60 SecurityChannelState: 1
2023-07-13 22:04:61 SecurityChannelState: 1
2023-07-13 22:04:17 SecurityChannelState: 1
2023-07-13 22:04:21 SecurityChannelState: 1
2023-07-13 22:04:54 SecurityChannelState: 1
2023-07-13 22:05:25 SecurityChannelState: 1
2023-07-13 22:05:58 SecurityChannelState: 1
2023-07-13 22:05:55 SecurityChannelState: 1
2023-07-13 22:05:23 SecurityChannelState: 1
2023-07-13 22:06:27 SecurityChannelState: 1
2023-07-13 22:06:82 SecurityChannelState: 1
2023-07-13 22:06:43 SecurityChannelState: 1
2023-07-13 22:06:56 SecurityChannelState: 1
2023-07-13 22:07:53 SecurityChannelState: 1
2023-07-13 22:07:95 SecurityChannelState: 1
2023-07-13 22:07:44 SecurityChannelState: 1
2023-07-13 22:07:66 SecurityChannelState: 1
2023-07-13 22:08:13 SecurityChannelState: 1
2023-07-13 22:08:33 SecurityChannelState: 1
2023-07-13 22:08:74 SecurityChannelState: 1
2023-07-13 22:08:29 SecurityChannelState: 1
2023-07-13 22:09:41 SecurityChannelState: 1
2023-07-13 22:09:94 SecurityChannelState: 1
2023-07-13 22:09:80 SecurityChannelState: 1
2023-07-13 22:09:95 SecurityChannelState: 1
2023-07-13 22:10:01 SecurityChannelState: 1
2023-07-13 22:10:10 SecurityChannelState: 1
2023-07-13 22:10:97 SecurityChannelState: 1
2023-07-13 22:10:20 SecurityChannelState: 1
2023-07-13 22:11:07 SecurityChannelState: 1
2023-07-13 22:11:65 SecurityChannelState: 1
2023-07-13 22:11:65 SecurityChannelState: 1
2023-07-13 22:11:19 SecurityChannelState: 1
2023-07-13 22:12:53 SecurityChannelState: 1
2023-07-13 22:12:31 SecurityChannelState: 1
2023-07-13 22:12:42 SecurityChannelState: 1
2023-07-13 22:12:78 SecurityChannelState: 1
2023-07-13 22:13:99 SecurityChannelState: 1
2023-07-13 22:13:91 SecurityChannelState: 1
2023-07-13 22:13:63 SecurityChannelState: 1
2023-07-13 22:13:98 SecurityChannelState: 1
2023-07-13 22:14:36 SecurityChannelState: 1
2023-07-13 22:14:78 SecurityChannelState: 1
2023-07-13 22:14:71 SecurityChannelState: 1
2023-07-13 22:14:84 SecurityChannelState: 1
2023-07-13 22:15:64 SecurityChannelState: 1
2023-07-13 22:15:94 SecurityChannelState: 1
2023-07-13 22:15:79 SecurityChannelState: 1
2023-07-13 22:15:76 SecurityChannelState: 1
2023-07-13 22:16:13 SecurityChannelState: 1
2023-07-13 22:16:96 SecurityChannelState: 1
2023-07-13 22:16:35 SecurityChannelState: 1
2023-07-13 22:16:70 SecurityChannelState: 1
2023-07-13 22:17:12 SecurityChannelState: 1
2023-07-13 22:17:56 SecurityChannelState: 1
2023-07-13 22:17:98 SecurityChannelState: 1
2023-07-13 22:17:23 SecurityChannelState: 1
2023-07-13 22:18:75 SecurityChannelState: 1
2023-07-13 22:18:88 SecurityChannelState: 1
2023-07-13 22:18:66 SecurityChannelState: 1
2023-07-13 22:18:85 SecurityChannelState: 1
2023-07-13 22:19:04 SecurityChannelState: 1
2023-07-13 22:19:62 SecurityChannelState: 1
2023-07-13 22:19:68 SecurityChannelState: 1
2023-07-13 22:19:05 SecurityChannelState: 1
2023-07-13 22:20:06 SecurityChannelState: 1
2023-07-13 22:20:73 SecurityChannelState: 1
2023-07-13 22:20:49 SecurityChannelState: 1
2023-07-13 22:20:13 SecurityChannelState: 1
2023-07-13 22:21:26 SecurityChannelState: 1
2023-07-13 22:21:48 SecurityChannelState: 1
2023-07-13 22:21:66 SecurityChannelState: 1
2023-07-13 22:21:74 SecurityChannelState: 1
2023-07-13 22:22:02 SecurityChannelState: 1
2023-07-13 22:22:89 SecurityChannelState: 1
2023-07-13 22:22:29 SecurityChannelState: 1
2023-07-13 22:22:81 SecurityChannelState: 1
2023-07-13 22:23:51 SecurityChannelState: 1
2023-07-13 22:23:46 SecurityChannelState: 1
2023-07-13 22:23:61 SecurityChannelState: 1
2023-07-13 22:23:50 SecurityChannelState: 1
2023-07-13 22:24:62 SecurityChannelState: 1
2023-07-13 22:24:46 SecurityChannelState: 1
2023-07-13 22:24:01 SecurityChannelState: 1
2023-07-13 22:24:68 SecurityChannelState: 1
